artifact_type,artifact,family,layout_grid,scroll_axis,visual_hierarchy,interactive_module,density
pattern,gallery-masonry,Gallery,3 staggered image columns,vertical,headline → photos,none,high
pattern,gallery-snap,Gallery,horizontal image rail,horizontal,headline → photos → controls,carousel controls,medium
pattern,gallery-compare,Gallery,2-equal before/after + rail,vertical,headline → before/after → caption,draggable rail,medium
pattern,gallery-360,Gallery,hero + thumbnail nav,vertical,hero image → thumbs → action,thumb nav + button,medium-high
pattern,checkout-summary,Checkout,split 58/42 lines + totals,vertical,headline → lines → totals → CTA,list + button,high
pattern,order-confirmation,Checkout,centered confirmation,vertical,check → headline → order number → CTA,single button,low
pattern,payment-reassurance,Checkout,3 icon cells,vertical,icon → title → copy,icon cells,medium
pattern,cost-transparency,Checkout,single column table,vertical,headline → cost rows → total → CTA,table + button,medium-high
pattern,service-warranty,Service,split 44/56 panel + copy,vertical,panel number → headline → copy → CTA,button,medium
pattern,service-pickup,Service,media-left 50/50 + steps,vertical,headline → steps → CTA,list + button,medium
pattern,service-membership,Service,3-tier pricing columns,vertical,headline → tiers → price → CTA,card buttons,high
pattern,service-status,Service,single column status module,vertical,chip → status → timeline → CTA,list + button,medium
template,front-page,Commerce/Full page,full-width stacked sections,vertical,hero-led multi-section,carousel/accordion/reveal,high
template,index,Article,grid cards,vertical,title → query cards,pagination,medium
template,archive,Article,query grid,vertical,title → query cards,pagination,medium
template,archive-product,Commerce,product loop grid,vertical,title → products,add-to-cart,high
template,taxonomy-product_cat,Commerce,product loop grid,vertical,title → products,add-to-cart,high
template,taxonomy-product_tag,Commerce,product loop grid,vertical,title → products,add-to-cart,high
template,search,Article,query grid,vertical,title → results,pagination,medium
template,single,Article,wide header + prose,vertical,title → featured → body → meta,comments/prev-next,medium
template,page,Article,single column,vertical,title → body,none,medium
template,page-no-title,Article,single column,vertical,body,none,low
template,404,Error,centered message,vertical,headline → action,single link,low
template,blank,Commerce,empty canvas,none,—,none,low
template,single-product,Commerce,split gallery + details,vertical,gallery → title → price → purchase,add-to-cart/accordion,high
template,single-product-full,Commerce,full-width gallery,vertical,gallery → title → price → purchase,add-to-cart,high
template,page-cart,Commerce,cart lines + totals,vertical,items → totals → checkout,quantity/buttons,high
template,page-checkout,Commerce,form + order summary,vertical,form → review → submit,form,high
template,page-order-confirmation,Commerce,confirmation,vertical,check → order → next step,single button,low
template,page-my-account,Commerce,account nav + content,vertical,nav → content,nav/form,high
template,product-search-results,Commerce,search results list,vertical,title → results,search + pagination,medium
